x1,license_number,provider_name,provider_service_type,street_address,city,state,zip,county,ecc,ccrr,school_district_operated_program,school_district,quality_rating,quality_rating_effective_date,quality_rating_expiration_date,cccap_fiscal_agreement_status,cccap_authorization_status,total_licensed_capacity,licensed_home_capacity,licensed_center_infant_capacity,licensed_center_toddler_capacity,licensed_center_preschool_capacity,licensed_preschool_and_school_age_capacity,licensed_school_age_capacity,licensed_nyo_capacity,licensed_resident_camp_capacity,governing_body
2172,11914,DOVES NEST,Child Care Center,418 Pine,Dove Creek,CO,81324,Dolores,Montelores Early Childhood Council,ECC La Plata Co,FALSE,District RE-4A (Dolores),2,5/1/2025,5/1/2028,TRUE,TRUE,26,0,5,7,0,14,0,0,0,
3303,92385,Dove Creek Preschool,Preschool Program,813 N Main ST,Dove Creek,CO,81324,Dolores,Montelores Early Childhood Council,ECC La Plata Co,TRUE,DOLORES COUNTY RE NO.2,2,12/19/2024,12/19/2027,FALSE,FALSE,15,,,,0,15,,,,Dolores County School Disctrict RE-2J
