x1,license_number,provider_name,provider_service_type,street_address,city,state,zip,county,ecc,ccrr,school_district_operated_program,school_district,quality_rating,quality_rating_effective_date,quality_rating_expiration_date,cccap_fiscal_agreement_status,cccap_authorization_status,total_licensed_capacity,licensed_home_capacity,licensed_center_infant_capacity,licensed_center_toddler_capacity,licensed_center_preschool_capacity,licensed_preschool_and_school_age_capacity,licensed_school_age_capacity,licensed_nyo_capacity,licensed_resident_camp_capacity,governing_body
1898,1538604,KIOWA COUNTY RE-2,Child Care Center,13997 County Road 71,Sheridan Lake,CO,81017,Kiowa,"Cheyenne, Kiowa, and Lincoln Counties Early Childhood Council","Cheyenne, Lincoln, Kiowa ECC",FALSE,Kiowa County School District RE-2,2,10/6/2025,10/6/2028,FALSE,FALSE,15,,,,15,0,,,,
3403,97573,EAGLES NEST PRESCHOOL,Preschool Program,900 N Maine Street,Eads,CO,81036,Kiowa,"Cheyenne, Kiowa, and Lincoln Counties Early Childhood Council","Cheyenne, Lincoln, Kiowa ECC",FALSE,Kiowa County RE-1,2,10/2/2025,10/2/2028,FALSE,FALSE,26,,,,0,26,,,,
