license_number,provider_name,provider_service_type,street_address,city,state,zip,county,ecc,ccrr,school_district_operated_program,school_district,quality_rating,quality_rating_effective_date,quality_rating_expiration_date,total_licensed_capacity,cccap_fiscal_agreement_status,cccap_authorization_status,licensed_home_capacity,licensed_center_infant_capacity,licensed_center_toddler_capacity,licensed_center_preschool_capacity,licensed_school_age_capacity,licensed_preschool_and_school_age_capacity,licensed_resident_camp_capacity,licensed_nyo_capacity,governing_body
11914,DOVES NEST,Child Care Center,418 Pine,Dove Creek,CO,81324,Dolores,Montelores Early Childhood Council,ECC La Plata Co,FALSE,District RE-4A (Dolores),2,05/01/2025,05/01/2028,26,TRUE,TRUE,0,5,7,0,0,14,0,0,
92385,Dove Creek Preschool,Preschool Program,813 N Main ST,Dove Creek,CO,81324,Dolores,Montelores Early Childhood Council,ECC La Plata Co,TRUE,DOLORES COUNTY RE NO.2,2,12/19/2024,12/19/2027,15,FALSE,FALSE,,,,0,,15,,,Dolores County School Disctrict RE-2J
