geoid,name,B09001001,"B09001001, Error",B09001002,"B09001002, Error",B09001003,"B09001003, Error",B09001004,"B09001004, Error",B09001005,"B09001005, Error",B09001006,"B09001006, Error",B09001007,"B09001007, Error",B09001008,"B09001008, Error",B09001009,"B09001009, Error",B09001010,"B09001010, Error"
05000US08097,"Pitkin County, CO",2560,164,2540,168,369,142,266,102,62,53,300,91,455,156,480,130,608,147,20,29
05000US08099,"Prowers County, CO",3070,23,3060,40,516,82,263,79,275,117,648,152,390,90,446,112,522,30,10,22
05000US08101,"Pueblo County, CO",37145,31,37027,51,5208,326,3897,327,2202,426,6205,459,6455,504,6383,525,6677,66,118,41
05000US08103,"Rio Blanco County, CO",1594,88,1594,88,320,103,97,25,119,50,175,56,286,67,354,75,243,19,0,19
05000US08105,"Rio Grande County, CO",2323,13,2318,15,401,84,178,83,60,51,307,103,455,128,490,126,427,6,5,4
05000US08107,"Routt County, CO",4380,48,4350,48,599,130,424,95,232,78,820,150,773,144,742,171,760,62,30,12
05000US08109,"Saguache County, CO",1207,29,1207,29,122,79,261,91,56,42,169,80,119,79,223,104,257,70,0,19
05000US08111,"San Juan County, CO",78,58,78,58,16,21,3,2,0,13,9,9,13,16,19,30,18,23,0,13
05000US08113,"San Miguel County, CO",1284,13,1284,13,111,79,133,76,153,104,131,52,266,107,225,72,265,78,0,19
05000US08115,"Sedgwick County, CO",513,94,513,94,115,53,73,28,21,14,46,25,61,28,69,34,128,55,0,13
05000US08117,"Summit County, CO",5064,133,5064,133,548,121,554,193,395,179,773,270,769,260,1155,287,870,149,0,28
05000US08119,"Teller County, CO",3970,89,3970,89,431,107,372,100,292,171,750,162,735,187,612,150,778,61,0,25
05000US08121,"Washington County, CO",1078,21,1078,21,123,24,115,28,52,24,240,36,192,31,165,36,191,14,0,13
05000US08123,"Weld County, CO",87535,,87450,41,13483,593,9781,597,4544,487,13928,788,16261,857,14667,854,14786,41,85,40
05000US08125,"Yuma County, CO",2723,15,2723,15,437,74,263,74,163,84,531,125,476,115,442,112,411,85,0,19
